time, pressure
16.34,1.4975412834
16.36,1.4913360018
16.38,1.4975412834
16.4,1.4975412834
16.42,1.4975412834
16.44,1.4975412834
16.46,1.4975412834
16.48,1.4975412834
16.5,1.4975412834
16.52,1.4975412834
16.54,1.5044360407
16.56,1.5044360407
16.58,1.5044360407
16.6,1.5044360407
16.62,1.5044360407
16.64,1.5044360407
16.66,1.5044360407
16.68,1.5044360407
16.7,1.5044360407
16.72,1.5044360407
16.74,1.5044360407
16.76,1.5044360407
16.78,1.5044360407
16.8,1.5044360407
16.82,1.5044360407
16.84,1.5044360407
16.86,1.5044360407
16.88,1.5044360407
16.9,1.5044360407
16.92,1.5044360407
16.94,1.511330798
16.96,1.5044360407
16.98,1.5044360407
17,1.5044360407
17.02,1.5044360407
17.04,1.5044360407
17.06,1.511330798
17.08,1.511330798
17.1,1.511330798
17.12,1.511330798
17.14,1.511330798
17.16,1.511330798
17.18,1.511330798
17.2,1.511330798
17.22,1.511330798
17.24,1.5182255553
17.26,1.511330798
17.28,1.5182255553
17.3,1.511330798
17.32,1.511330798
17.34,1.511330798
17.36,1.511330798
17.38,1.511330798
17.4,1.511330798
17.42,1.511330798
17.44,1.511330798
17.46,1.5182255553
17.48,1.5182255553
17.5,1.5182255553
17.52,1.5182255553
17.54,1.5182255553
17.56,1.5182255553
17.58,1.5182255553
17.6,1.5182255553
17.62,1.5244308368
17.64,1.5244308368
17.66,1.5244308368
17.68,1.5244308368
17.7,1.5182255553
17.72,1.5182255553
17.74,1.5182255553
17.76,1.5182255553
17.78,1.5244308368
17.8,1.5244308368
17.82,1.5244308368
17.84,1.5244308368
17.86,1.5244308368
17.88,1.5182255553
17.9,1.5244308368
17.92,1.5244308368
17.94,1.5244308368
17.96,1.5244308368
17.98,1.5244308368
18,1.5244308368
18.02,1.5244308368
18.04,1.5244308368
18.06,1.5244308368
18.08,1.5244308368
18.1,1.5244308368
18.12,1.5313255941
18.14,1.5313255941
18.16,1.5313255941
18.18,1.5313255941
18.2,1.5313255941
18.22,1.5313255941
18.24,1.5313255941
18.26,1.5313255941
18.28,1.5313255941
18.3,1.5313255941
18.32,1.5313255941
18.34,1.5313255941
18.36,1.5313255941
18.38,1.5313255941
18.4,1.5313255941
18.42,1.5313255941
18.44,1.5313255941
18.46,1.5313255941
18.48,1.5313255941
18.5,1.5382203514
18.52,1.5382203514
18.54,1.5382203514
18.56,1.5382203514
18.58,1.5382203514
18.6,1.5382203514
18.62,1.5382203514
18.64,1.5451151087
18.66,1.5451151087
18.68,1.5451151087
18.7,1.5451151087
18.72,1.5451151087
18.74,1.5382203514
18.76,1.5382203514
18.78,1.5382203514
18.8,1.5451151087
18.82,1.5451151087
18.84,1.5451151087
18.86,1.5451151087
18.88,1.5451151087
18.9,1.5451151087
18.92,1.5451151087
18.94,1.5451151087
18.96,1.5451151087
18.98,1.5451151087
19,1.5451151087
19.02,1.5451151087
19.04,1.5513203903
19.06,1.5451151087
19.08,1.5513203903
19.1,1.5513203903
19.12,1.5513203903
19.14,1.5513203903
19.16,1.5513203903
19.18,1.5582151475
19.2,1.5582151475
19.22,1.5582151475
19.24,1.5582151475
19.26,1.5582151475
19.28,1.5582151475
19.3,1.5582151475
19.32,1.5582151475
19.34,1.5582151475
19.36,1.5582151475
19.38,1.5582151475
19.4,1.5582151475
19.42,1.5582151475
19.44,1.5582151475
19.46,1.5582151475
19.48,1.5582151475
19.5,1.5582151475
19.52,1.5651099048
19.54,1.5651099048
19.56,1.5651099048
19.58,1.5651099048
19.6,1.5651099048
19.62,1.5651099048
19.64,1.5720046621
19.66,1.5720046621
19.68,1.5720046621
19.7,1.5720046621
19.72,1.5720046621
19.74,1.5720046621
19.76,1.5720046621
19.78,1.5720046621
19.8,1.5720046621
19.82,1.5720046621
19.84,1.5720046621
19.86,1.5788994194
19.88,1.5788994194
19.9,1.5788994194
19.92,1.5788994194
19.94,1.5788994194
19.96,1.5788994194
19.98,1.5788994194
20,1.5788994194
20.02,1.585104701
20.04,1.585104701
20.06,1.585104701
20.08,1.585104701
20.1,1.585104701
20.12,1.585104701
20.14,1.5919994583
20.16,1.5919994583
20.18,1.5919994583
20.2,1.5988942156
20.22,1.5988942156
20.24,1.5988942156
20.26,1.5988942156
20.28,1.5988942156
20.3,1.5988942156
20.32,1.5988942156
20.34,1.6057889728
20.36,1.6057889728
20.38,1.6057889728
20.4,1.6119942544
20.42,1.6119942544
20.44,1.6119942544
20.46,1.6188890117
20.48,1.625783769
20.5,1.6388838078
20.52,1.6526733224
20.54,1.666462837
20.56,1.6864576331
20.58,1.7202419439
20.6,1.7533367788
20.62,1.780915808
20.64,1.8009106041
20.66,1.8209054003
20.68,1.8409001964
20.7,1.8677897499
20.72,1.895368779
20.74,1.9222583325
20.76,1.9491478859
20.78,1.9760374393
20.8,2.00982175
20.82,2.0567060996
20.84,2.1035904492
20.86,2.1442695172
20.88,2.1780538279
20.9,2.2049433813
20.92,2.2449329736
20.94,2.2925067989
20.96,2.3462859058
20.98,2.3800702165
21,2.3800702165
21.02,2.3862754981
21.04,2.4676336341
21.06,2.5882918867
21.08,2.6965395761
21.1,2.7703134791
21.12,2.8847664501
21.14,3.1543514602
21.16,3.4439312664
21.18,3.5445947228
21.2,3.5714842762
21.22,3.7266163152
21.24,4.2582021023
21.26,4.2582021023
21.28,3.9217379466
21.3,4.1844281993
21.32,4.3933393452
21.34,4.2850916557
21.36,4.2850916557
21.38,6.083244357
21.4,5.9550018714
21.42,5.0462728606
21.44,6.7361778723
21.46,7.6855859512
21.48,6.1501235027
21.5,5.5171847835
21.52,6.3659294059
21.54,6.8775203968
21.56,5.5171847835
21.58,4.0361909176
